Time,Voltage(CH1),Voltage(CH2)
2.392e-07,1.2,-0.008
2.4000000000000003e-07,1.16,-0.012
2.408e-07,1.2,-0.012
2.416e-07,1.2,-0.008
2.424e-07,1.16,-0.012
2.432e-07,1.12,-0.012
2.44e-07,1.2,-0.016
2.448e-07,1.16,-0.012
2.4560000000000003e-07,1.2,-0.008
2.464e-07,1.2,-0.012
2.472e-07,1.24,-0.004
2.48e-07,1.24,-0.012
2.488e-07,1.24,-0.012
2.496e-07,1.28,-0.012
2.504e-07,1.24,-0.008
2.512e-07,1.24,-0.016
2.5200000000000003e-07,1.24,-0.012
2.528e-07,1.24,-0.012
2.536e-07,1.24,-0.016
2.544e-07,1.24,-0.012
2.552e-07,1.24,-0.012
2.56e-07,1.24,-0.012
2.568e-07,1.24,-0.012
2.5760000000000003e-07,1.28,-0.012
2.584e-07,1.24,-0.016
2.592e-07,1.24,-0.012
2.6e-07,1.28,-0.012
2.608e-07,1.28,-0.008
2.616e-07,1.24,-0.012
2.624e-07,1.28,-0.016
2.6320000000000003e-07,1.32,-0.012
2.6400000000000003e-07,1.28,-0.016
2.648e-07,1.36,-0.012
2.656e-07,1.28,-0.012
2.664e-07,1.32,-0.012
2.672e-07,1.36,-0.012
2.68e-07,1.36,-0.016
2.688e-07,1.32,-0.012
2.6960000000000003e-07,1.32,-0.012
2.704e-07,1.32,-0.008
2.712e-07,1.36,-0.016
2.72e-07,1.36,-0.016
2.728e-07,1.4000000000000001,-0.016
2.736e-07,1.32,-0.016
2.744e-07,1.36,-0.016
2.7520000000000003e-07,1.36,-0.012
2.7600000000000004e-07,1.4000000000000001,-0.012
2.768e-07,1.4000000000000001,-0.012
2.776e-07,1.4000000000000001,-0.012
2.784e-07,1.4000000000000001,-0.016
2.792e-07,1.4000000000000001,-0.008
2.8e-07,1.36,-0.016
2.808e-07,1.4000000000000001,-0.02
2.8160000000000003e-07,1.4000000000000001,-0.016
2.824e-07,1.4000000000000001,-0.016
2.832e-07,1.4000000000000001,-0.012
2.84e-07,1.44,-0.02
2.848e-07,1.44,-0.012
2.856e-07,1.44,-0.02
2.864e-07,1.44,-0.012
2.8720000000000003e-07,1.44,-0.016
2.88e-07,1.48,-0.02
2.888e-07,1.44,-0.016
2.896e-07,1.48,-0.02
2.904e-07,1.48,-0.02
2.912e-07,1.44,-0.016
2.92e-07,1.48,-0.02
2.9280000000000003e-07,1.44,-0.016
2.9360000000000003e-07,1.48,-0.016
2.944e-07,1.44,-0.02
2.952e-07,1.48,-0.02
2.96e-07,1.48,-0.02
2.968e-07,1.48,-0.016
2.976e-07,1.56,-0.016
2.984e-07,1.48,-0.016
2.9920000000000003e-07,1.48,-0.016
3e-07,1.52,-0.02
3.008e-07,1.52,-0.02
3.016e-07,1.52,-0.02
3.024e-07,1.52,-0.02
3.032e-07,1.52,-0.02
3.04e-07,1.48,-0.02
3.0480000000000003e-07,1.52,-0.02
3.0560000000000004e-07,1.52,-0.016
3.064e-07,1.52,-0.02
3.072e-07,1.56,-0.02
3.08e-07,1.56,-0.016
3.088e-07,1.56,-0.02
3.096e-07,1.56,-0.02
3.1040000000000003e-07,1.6,-0.016
3.1120000000000003e-07,1.6,-0.016
3.12e-07,1.56,-0.024
3.128e-07,1.56,-0.02
3.136e-07,1.6,-0.016
3.144e-07,1.56,-0.016
3.152e-07,1.56,-0.016
3.16e-07,1.56,-0.02
3.1680000000000003e-07,1.6,-0.016
3.176e-07,1.56,-0.02
3.184e-07,1.56,-0.02
3.192e-07,1.6,-0.016
3.2e-07,1.6400000000000001,-0.02
3.208e-07,1.6,-0.02
3.216e-07,1.68,-0.02
3.2240000000000003e-07,1.6400000000000001,-0.02
3.2320000000000004e-07,1.6,-0.02
3.24e-07,1.68,-0.02
3.248e-07,1.6400000000000001,-0.024
3.256e-07,1.6400000000000001,-0.02
3.264e-07,1.6,-0.024
3.272e-07,1.6400000000000001,-0.028
3.28e-07,1.6400000000000001,-0.024
3.2880000000000003e-07,1.68,-0.02
3.296e-07,1.6400000000000001,-0.016
3.304e-07,1.68,-0.024
3.312e-07,1.68,-0.02
3.32e-07,1.72,-0.02
3.328e-07,1.6400000000000001,-0.024
3.336e-07,1.72,-0.024
3.3440000000000003e-07,1.68,-0.02
3.3520000000000004e-07,1.68,-0.02
3.36e-07,1.72,-0.02
3.368e-07,1.72,-0.02
3.376e-07,1.72,-0.024
3.384e-07,1.76,-0.02
3.392e-07,1.76,-0.024
3.4000000000000003e-07,1.76,-0.02
3.4080000000000003e-07,1.72,-0.028
3.416e-07,1.76,-0.024
3.424e-07,1.76,-0.024
3.432e-07,1.72,-0.028
3.44e-07,1.68,-0.024
3.448e-07,1.76,-0.028
3.456e-07,1.76,-0.02
3.4640000000000003e-07,1.72,-0.024
3.4720000000000004e-07,1.76,-0.028
3.48e-07,1.76,-0.02
3.488e-07,1.8,-0.024
3.496e-07,1.8,-0.024
3.504e-07,1.76,-0.024
3.512e-07,1.8,-0.024
3.5200000000000003e-07,1.8,-0.024
3.5280000000000004e-07,1.8,-0.02
3.536e-07,1.8,-0.028
3.544e-07,1.84,-0.024
3.552e-07,1.8,-0.024
3.56e-07,1.84,-0.028
3.568e-07,1.8,-0.024
3.576e-07,1.8800000000000001,-0.024
3.5840000000000003e-07,1.84,-0.024
3.592e-07,1.8,-0.024
3.6e-07,1.8,-0.028
3.608e-07,1.8,-0.024
3.616e-07,1.8,-0.024
3.624e-07,1.8,-0.024
3.632e-07,1.84,-0.028
3.6400000000000003e-07,1.8800000000000001,-0.024
3.6480000000000004e-07,1.8800000000000001,-0.024
3.656e-07,1.84,-0.028
3.664e-07,1.8800000000000001,-0.02
3.672e-07,1.8800000000000001,-0.02
3.68e-07,1.8800000000000001,-0.024
3.688e-07,1.84,-0.028
3.6960000000000003e-07,1.8800000000000001,-0.02
3.7040000000000003e-07,1.8800000000000001,-0.024
3.712e-07,1.8800000000000001,-0.02
3.72e-07,1.92,-0.024
3.728e-07,1.92,-0.028
3.736e-07,1.92,-0.024
3.744e-07,1.8800000000000001,-0.028
3.752e-07,1.8800000000000001,-0.024
3.7600000000000003e-07,1.92,-0.024
3.7680000000000004e-07,1.8800000000000001,-0.024
3.776e-07,1.92,-0.024
3.784e-07,1.92,-0.024
3.792e-07,1.92,-0.024
3.8e-07,1.96,-0.02
3.808e-07,1.92,-0.024
3.8160000000000003e-07,1.92,-0.024
3.8240000000000004e-07,1.92,-0.024
3.832e-07,1.96,-0.024
3.84e-07,1.92,-0.024
3.848e-07,1.96,-0.028
3.856e-07,1.96,-0.024
3.864e-07,1.96,-0.028
3.872e-07,1.92,-0.028
3.8800000000000003e-07,1.96,-0.028
3.8880000000000004e-07,2.0,-0.024
3.896e-07,2.0,-0.024
3.904e-07,2.0,-0.024
3.912e-07,1.96,-0.02
3.92e-07,1.96,-0.024
3.928e-07,1.96,-0.028
3.9360000000000003e-07,2.04,-0.028
3.9440000000000004e-07,2.0,-0.024
3.952e-07,2.04,-0.028
3.96e-07,2.0,-0.028
3.968e-07,2.04,-0.028
3.976e-07,2.04,-0.024
3.984e-07,2.04,-0.024
3.9920000000000003e-07,2.08,-0.024
4.0000000000000003e-07,2.08,-0.024
4.008e-07,2.08,-0.028
4.016e-07,2.04,-0.028
4.024e-07,2.04,-0.024
4.032e-07,2.04,-0.028
4.04e-07,2.04,-0.028
4.048e-07,2.04,-0.024
4.0560000000000003e-07,2.04,-0.024
4.0640000000000004e-07,2.12,-0.028
4.072e-07,2.08,-0.024
4.08e-07,2.04,-0.02
4.088e-07,2.08,-0.024
4.096e-07,2.08,-0.024
4.104e-07,2.12,-0.024
4.1120000000000003e-07,2.08,-0.024
4.1200000000000004e-07,2.08,-0.032
4.128e-07,2.08,-0.028
